# generated from the tensat project
# ("Equality Saturation for Tensor Graph Superoptimization" by Yang, Phothilimthana, Wang, Willsey, Roy and Pienaar)
# network: bert
# node_limit: 50000
# iteration limit: 15
# multipatern iteration limit: 2
## root: 191
2081,0,Split([10; 2080]),10,2080
10102,0.5420160293579102,Matmul([0; 443; 2154]),0,443,2154
10102,0.5420160293579102,Matmul([0; 8729; 2159]),0,8729,2159
31771,0.5625920295715332,Matmul([0; 51; 31777]),0,51,31777
31771,0.5505920052528381,Matmul([0; 453; 31781]),0,453,31781
31771,0.5505920052528381,Matmul([0; 8735; 31783]),0,8735,31783
31771,0.5420160293579102,Matmul([0; 8821; 4209]),0,8821,4209
368,0.000045000000682193786,Concat([10; 192; 134; 143]),10,192,134,143
26703,0.5625920295715332,Matmul([0; 28; 26705]),0,28,26705
26703,0.5420160293579102,Matmul([0; 443; 1784]),0,443,1784
7531,0,Split([10; 2479]),10,2479
38589,0.8015679717063904,Matmul([0; 28; 38593]),0,28,38593
38589,0.7773119807243347,Matmul([0; 443; 38599]),0,443,38599
38589,0.7773119807243347,Matmul([0; 8729; 38603]),0,8729,38603
38589,0.7773119807243347,Matmul([0; 8807; 38605]),0,8807,38605
38589,0.7639679908752441,Matmul([0; 9023; 6699]),0,9023,6699
1629,0.000022000000171829015,Concat([10; 192; 54; 531]),10,192,54,531
4394,0.00003199999991920777,Concat([10; 192; 166; 388]),10,192,166,388
30757,0.5523520112037659,Matmul([0; 143; 3989]),0,143,3989
5456,0,Split([10; 5455]),10,5455
31455,0.5625920295715332,Matmul([0; 28; 31459]),0,28,31459
31455,0.5505920052528381,Matmul([0; 443; 31465]),0,443,31465
31455,0.5505920052528381,Matmul([0; 8729; 31471]),0,8729,31471
31455,0.5505920052528381,Matmul([0; 8807; 31475]),0,8807,31475
31455,0.5505920052528381,Matmul([0; 9023; 31477]),0,9023,31477
31455,0.5420160293579102,Matmul([0; 9059; 4134]),0,9059,4134
26861,0.40112000703811646,Matmul([0; 51; 26863]),0,51,26863
26861,0.3887999951839447,Matmul([0; 453; 2114]),0,453,2114
37591,0.7783359885215759,Matmul([0; 97; 6409]),0,97,6409
11120,0.7783359885215759,Matmul([0; 97; 6434]),0,97,6434
11120,0.7639679908752441,Matmul([0; 473; 6439]),0,473,6439
1934,0.000022000000171829015,Concat([10; 192; 65; 535]),10,192,65,535
28273,0.5523520112037659,Matmul([0; 97; 3259]),0,97,3259
11398,0.8015679717063904,Matmul([0; 120; 11400]),0,120,11400
11398,0.7639679908752441,Matmul([0; 483; 7144]),0,483,7144
11398,0.7639679908752441,Matmul([0; 8753; 7149]),0,8753,7149
27629,0.5625920295715332,Matmul([0; 51; 27631]),0,51,27631
27629,0.5420160293579102,Matmul([0; 453; 2874]),0,453,2874
6786,0,Split([10; 6785]),10,6785
10822,0.5625920295715332,Matmul([0; 74; 10824]),0,74,10824
10822,0.5505920052528381,Matmul([0; 463; 10826]),0,463,10826
10822,0.5505920052528381,Matmul([0; 8741; 10828]),0,8741,10828
10822,0.5420160293579102,Matmul([0; 8835; 4689]),0,8835,4689
10822,0.5420160293579102,Matmul([0; 9113; 4694]),0,9113,4694
36767,0.8015679717063904,Matmul([0; 51; 36769]),0,51,36769
36767,0.7639679908752441,Matmul([0; 453; 5899]),0,453,5899
26557,0.3963199853897095,Matmul([0; 28; 1234]),0,28,1234
27805,0.5523520112037659,Matmul([0; 97; 2979]),0,97,2979
2709,0.00003199999991920777,Concat([10; 192; 100; 483]),10,192,100,483
935,0.035840000957250595,Matmul([0; 3; 26515]),0,3,26515
935,0.0360959991812706,Matmul([0; 29; 934]),0,29,934
11014,0.8015679717063904,Matmul([0; 28; 11016]),0,28,11016
11014,0.7773119807243347,Matmul([0; 443; 11018]),0,443,11018
11014,0.7639679908752441,Matmul([0; 8729; 6094]),0,8729,6094
11014,0.7639679908752441,Matmul([0; 8807; 6099]),0,8807,6099
29677,0.40112000703811646,Matmul([0; 51; 29683]),0,51,29683
29677,0.3935360014438629,Matmul([0; 453; 29687]),0,453,29687
29677,0.3935360014438629,Matmul([0; 8735; 29689]),0,8735,29689
29677,0.3887999951839447,Matmul([0; 8821; 3724]),0,8821,3724
38549,0.8015679717063904,Matmul([0; 97; 38551]),0,97,38551
38549,0.7639679908752441,Matmul([0; 473; 6684]),0,473,6684
4595,0.05350400134921074,Matmul([0; 3; 17335]),0,3,17335
4595,0.05407999828457832,Matmul([0; 29; 17337]),0,29,17337
4595,0.05407999828457832,Matmul([0; 52; 10774]),0,52,10774
4595,0.05407999828457832,Matmul([0; 75; 10776]),0,75,10776
4595,0.05407999828457832,Matmul([0; 98; 10778]),0,98,10778
4595,0.05407999828457832,Matmul([0; 121; 10780]),0,121,10780
4595,0.05532800033688545,Matmul([0; 144; 4594]),0,144,4594
4595,0.05532800033688545,Matmul([0; 167; 4599]),0,167,4599
2014,0.00003199999991920777,Concat([10; 192; 74; 258]),10,192,74,258
5371,0,Split([10; 5370]),10,5370
5526,0,Split([10; 5525]),10,5525
1405,0.05488000065088272,Matmul([0; 3; 1404]),0,3,1404
36801,0.8015679717063904,Matmul([0; 28; 36803]),0,28,36803
36801,0.7773119807243347,Matmul([0; 443; 36805]),0,443,36805
36801,0.7639679908752441,Matmul([0; 8729; 5944]),0,8729,5944
3354,0.5523520112037659,Matmul([0; 120; 3359]),0,120,3359
3354,0.00003199999991920777,Concat([10; 192; 475; 557]),10,192,475,557
1005,0.05488000065088272,Matmul([0; 3; 1004]),0,3,1004
1005,0.05532800033688545,Matmul([0; 29; 1009]),0,29,1009
33007,0.5625920295715332,Matmul([0; 97; 33011]),0,97,33011
33007,0.5505920052528381,Matmul([0; 473; 33013]),0,473,33013
33007,0.5420160293579102,Matmul([0; 8747; 4429]),0,8747,4429
5236,0,Split([10; 5235]),10,5235
3376,0,Split([10; 3375]),10,3375
79,0,Reshape([78; 7]),78,7
4734,0.00003199999991920777,Concat([10; 192; 180; 423]),10,192,180,423
6824,0.7783359885215759,Matmul([0; 143; 6829]),0,143,6829
6824,0.000029000000722589903,Concat([10; 192; 567; 569]),10,192,567,569
7085,0.06892800331115723,Matmul([0; 3; 18982]),0,3,18982
7085,0.0708480030298233,Matmul([0; 29; 18984]),0,29,18984
7085,0.0708480030298233,Matmul([0; 52; 11346]),0,52,11346
7085,0.0708480030298233,Matmul([0; 75; 11348]),0,75,11348
7085,0.0708480030298233,Matmul([0; 98; 11350]),0,98,11350
7085,0.0708480030298233,Matmul([0; 121; 11352]),0,121,11352
7085,0.07011199742555618,Matmul([0; 144; 7084]),0,144,7084
7085,0.07011199742555618,Matmul([0; 167; 7089]),0,167,7089
30235,0.5625920295715332,Matmul([0; 74; 30239]),0,74,30239
30235,0.5505920052528381,Matmul([0; 463; 30241]),0,463,30241
30235,0.5420160293579102,Matmul([0; 8741; 3899]),0,8741,3899
1900,0.05350400134921074,Matmul([0; 3; 10086]),0,3,10086
1900,0.05532800033688545,Matmul([0; 29; 1899]),0,29,1899
1900,0.05532800033688545,Matmul([0; 52; 1904]),0,52,1904
30979,0.5625920295715332,Matmul([0; 74; 30983]),0,74,30983
30979,0.5505920052528381,Matmul([0; 463; 30985]),0,463,30985
30979,0.5420160293579102,Matmul([0; 8741; 4049]),0,8741,4049
2031,0,Split([10; 2030]),10,2030
1974,0.00002700000004551839,Concat([10; 192; 453; 228]),10,192,453,228
3760,0.05350400134921074,Matmul([0; 3; 29775]),0,3,29775
3760,0.05407999828457832,Matmul([0; 29; 29779]),0,29,29779
3760,0.05407999828457832,Matmul([0; 52; 29783]),0,52,29783
3760,0.05407999828457832,Matmul([0; 75; 29785]),0,75,29785
3760,0.05532800033688545,Matmul([0; 98; 3759]),0,98,3759
33121,0.5625920295715332,Matmul([0; 74; 33127]),0,74,33127
33121,0.5505920052528381,Matmul([0; 463; 33131]),0,463,33131
33121,0.5505920052528381,Matmul([0; 8741; 33133]),0,8741,33133
33121,0.5420160293579102,Matmul([0; 8835; 4469]),0,8835,4469
30055,0.5523520112037659,Matmul([0; 120; 3839]),0,120,3839
4936,0,Split([10; 4935]),10,4935
17911,0.5625920295715332,Matmul([0; 28; 17913]),0,28,17913
17911,0.5505920052528381,Matmul([0; 443; 10870]),0,443,10870
17911,0.5505920052528381,Matmul([0; 8729; 10872]),0,8729,10872
17911,0.5505920052528381,Matmul([0; 8807; 10874]),0,8807,10874
17911,0.5505920052528381,Matmul([0; 9023; 10876]),0,9023,10876
17911,0.5420160293579102,Matmul([0; 9059; 4779]),0,9059,4779
17911,0.5420160293579102,Matmul([0; 9107; 4784]),0,9107,4784
8469,0,Split([0; 8468]),0,8468
6535,0.06892800331115723,Matmul([0; 3; 38007]),0,3,38007
6535,0.0708480030298233,Matmul([0; 29; 38011]),0,29,38011
6535,0.0708480030298233,Matmul([0; 52; 38017]),0,52,38017
6535,0.0708480030298233,Matmul([0; 75; 38021]),0,75,38021
6535,0.0708480030298233,Matmul([0; 98; 38023]),0,98,38023
6535,0.07011199742555618,Matmul([0; 121; 6534]),0,121,6534
11096,0.7783359885215759,Matmul([0; 74; 6344]),0,74,6344
11096,0.7639679908752441,Matmul([0; 463; 6349]),0,463,6349
27599,0.40112000703811646,Matmul([0; 74; 27601]),0,74,27601
27599,0.3887999951839447,Matmul([0; 463; 2854]),0,463,2854
26617,0.5523520112037659,Matmul([0; 28; 1559]),0,28,1559
39973,0.7783359885215759,Matmul([0; 143; 6949]),0,143,6949
10940,0.7783359885215759,Matmul([0; 28; 5594]),0,28,5594
10940,0.7639679908752441,Matmul([0; 443; 5599]),0,443,5599
40389,0.8015679717063904,Matmul([0; 28; 40393]),0,28,40393
40389,0.7773119807243347,Matmul([0; 443; 40399]),0,443,40399
40389,0.7773119807243347,Matmul([0; 8729; 40405]),0,8729,40405
40389,0.7773119807243347,Matmul([0; 8807; 40409]),0,8807,40409
40389,0.7773119807243347,Matmul([0; 9023; 40411]),0,9023,40411
40389,0.7639679908752441,Matmul([0; 9059; 7029]),0,9059,7029
19272,0.8015679717063904,Matmul([0; 51; 11394]),0,51,11394
19272,0.7773119807243347,Matmul([0; 453; 11396]),0,453,11396
19272,0.7773119807243347,Matmul([0; 8735; 11398]),0,8735,11398
19272,0.7773119807243347,Matmul([0; 8821; 11400]),0,8821,11400
19272,0.7639679908752441,Matmul([0; 9062; 7144]),0,9062,7144
19272,0.7639679908752441,Matmul([0; 9110; 7149]),0,9110,7149
36487,0.7783359885215759,Matmul([0; 51; 5479]),0,51,5479
32419,0.40112000703811646,Matmul([0; 51; 32425]),0,51,32425
32419,0.3935360014438629,Matmul([0; 453; 32431]),0,453,32431
32419,0.3935360014438629,Matmul([0; 8735; 32435]),0,8735,32435
32419,0.3935360014438629,Matmul([0; 8821; 32437]),0,8821,32437
32419,0.3887999951839447,Matmul([0; 9062; 4324]),0,9062,4324
1986,0,Split([10; 1985]),10,1985
2471,0,Split([10; 2470]),10,2470
5020,0.07017599791288376,Matmul([0; 3; 5019]),0,3,5019
1931,0,Split([10; 1930]),10,1930
31765,0.5523520112037659,Matmul([0; 120; 4204]),0,120,4204
741,0,Split([10; 740]),10,740
29283,0.5625920295715332,Matmul([0; 28; 29287]),0,28,29287
29283,0.5505920052528381,Matmul([0; 443; 29291]),0,443,29291
29283,0.5505920052528381,Matmul([0; 8729; 29293]),0,8729,29293
29283,0.5420160293579102,Matmul([0; 8807; 3604]),0,8807,3604
2370,0.05350400134921074,Matmul([0; 3; 27057]),0,3,27057
2370,0.05407999828457832,Matmul([0; 29; 27059]),0,29,27059
2370,0.05407999828457832,Matmul([0; 52; 27061]),0,52,27061
2370,0.05532800033688545,Matmul([0; 75; 2369]),0,75,2369
8973,0.40112000703811646,Matmul([0; 120; 575]),0,120,575
8973,0.3887999951839447,Matmul([0; 483; 398]),0,483,398
32223,0.5625920295715332,Matmul([0; 28; 32227]),0,28,32227
32223,0.5505920052528381,Matmul([0; 443; 32233]),0,443,32233
32223,0.5505920052528381,Matmul([0; 8729; 32239]),0,8729,32239
32223,0.5505920052528381,Matmul([0; 8807; 32243]),0,8807,32243
32223,0.5505920052528381,Matmul([0; 9023; 32245]),0,9023,32245
32223,0.5420160293579102,Matmul([0; 9059; 4284]),0,9059,4284
30241,0.5523520112037659,Matmul([0; 120; 3899]),0,120,3899
111,0,Weight([110]),110
5276,0,Split([10; 5275]),10,5275
2409,0.00003199999991920777,Concat([10; 192; 88; 469]),10,192,88,469
729,0.000022000000171829015,Concat([10; 192; 13; 509]),10,192,13,509
36535,0.7783359885215759,Matmul([0; 51; 5569]),0,51,5569
5764,0.7783359885215759,Matmul([0; 74; 5769]),0,74,5769
5764,0.000029000000722589903,Concat([10; 192; 529; 533]),10,192,529,533
10282,0.5625920295715332,Matmul([0; 28; 10284]),0,28,10284
10282,0.5505920052528381,Matmul([0; 443; 10286]),0,443,10286
10282,0.5420160293579102,Matmul([0; 8729; 3059]),0,8729,3059
10282,0.5420160293579102,Matmul([0; 8807; 3064]),0,8807,3064
10402,0.5625920295715332,Matmul([0; 74; 10404]),0,74,10404
10402,0.5420160293579102,Matmul([0; 463; 3494]),0,463,3494
10402,0.5420160293579102,Matmul([0; 8741; 3499]),0,8741,3499
11200,0.7783359885215759,Matmul([0; 97; 6624]),0,97,6624
11200,0.7639679908752441,Matmul([0; 473; 6629]),0,473,6629
5895,0.06892800331115723,Matmul([0; 3; 36759]),0,3,36759
5895,0.0708480030298233,Matmul([0; 29; 36761]),0,29,36761
5895,0.0708480030298233,Matmul([0; 52; 36763]),0,52,36763
5895,0.07011199742555618,Matmul([0; 75; 5894]),0,75,5894
5365,0.06892800331115723,Matmul([0; 3; 36447]),0,3,36447
5365,0.07011199742555618,Matmul([0; 29; 5364]),0,29,5364
6276,0,Split([10; 6275]),10,6275
33063,0.5625920295715332,Matmul([0; 28; 33067]),0,28,33067
33063,0.5505920052528381,Matmul([0; 443; 33073]),0,443,33073
33063,0.5505920052528381,Matmul([0; 8729; 33079]),0,8729,33079
33063,0.5505920052528381,Matmul([0; 8807; 33083]),0,8807,33083
33063,0.5505920052528381,Matmul([0; 9023; 33085]),0,9023,33085
33063,0.5420160293579102,Matmul([0; 9059; 4444]),0,9059,4444
40213,0.8015679717063904,Matmul([0; 74; 40219]),0,74,40219
40213,0.7773119807243347,Matmul([0; 463; 40223]),0,463,40223
40213,0.7773119807243347,Matmul([0; 8741; 40225]),0,8741,40225
40213,0.7639679908752441,Matmul([0; 8835; 6994]),0,8835,6994
11264,0.7783359885215759,Matmul([0; 120; 6824]),0,120,6824
11264,0.7639679908752441,Matmul([0; 483; 6829]),0,483,6829
1726,0,Split([10; 1725]),10,1725
1605,0.05350400134921074,Matmul([0; 3; 10062]),0,3,10062
1605,0.05532800033688545,Matmul([0; 29; 1604]),0,29,1604
1605,0.05532800033688545,Matmul([0; 52; 1609]),0,52,1609
5746,0,Split([10; 5745]),10,5745
3834,0.000022000000171829015,Concat([10; 192; 143; 567]),10,192,143,567
4776,0,Split([10; 4775]),10,4775
6340,0.06892800331115723,Matmul([0; 3; 37423]),0,3,37423
6340,0.0708480030298233,Matmul([0; 29; 37427]),0,29,37427
6340,0.0708480030298233,Matmul([0; 52; 37431]),0,52,37431
6340,0.0708480030298233,Matmul([0; 75; 37433]),0,75,37433
6340,0.07011199742555618,Matmul([0; 98; 6339]),0,98,6339
275,0,Split([10; 274]),10,274
19078,0.8015679717063904,Matmul([0; 28; 19080]),0,28,19080
19078,0.7773119807243347,Matmul([0; 443; 11362]),0,443,11362
19078,0.7773119807243347,Matmul([0; 8729; 11364]),0,8729,11364
19078,0.7773119807243347,Matmul([0; 8807; 11366]),0,8807,11366
19078,0.7773119807243347,Matmul([0; 9023; 11368]),0,9023,11368
19078,0.7639679908752441,Matmul([0; 9059; 7104]),0,9059,7104
19078,0.7639679908752441,Matmul([0; 9107; 7109]),0,9107,7109
34777,0.5625920295715332,Matmul([0; 74; 34783]),0,74,34783
34777,0.5505920052528381,Matmul([0; 463; 34787]),0,463,34787
34777,0.5505920052528381,Matmul([0; 8741; 34789]),0,8741,34789
34777,0.5420160293579102,Matmul([0; 8835; 4664]),0,8835,4664
2831,0,Split([10; 2830]),10,2830
2426,0,Split([10; 2425]),10,2425
2279,0.00002700000004551839,Concat([10; 192; 457; 258]),10,192,457,258
10224,0.5625920295715332,Matmul([0; 51; 10226]),0,51,10226
10224,0.5420160293579102,Matmul([0; 453; 2784]),0,453,2784
10224,0.5420160293579102,Matmul([0; 8735; 2789]),0,8735,2789
9492,0.23977600038051605,Matmul([0; 28; 9494]),0,28,9494
9492,0.23161600530147552,Matmul([0; 443; 8827]),0,443,8827
9492,0.23161600530147552,Matmul([0; 8729; 8829]),0,8729,8829
9492,0.23161600530147552,Matmul([0; 8807; 477]),0,8807,477
9492,0.22566400468349457,Matmul([0; 9023; 128]),0,9023,128
1745,0.05350400134921074,Matmul([0; 3; 10072]),0,3,10072
1745,0.05532800033688545,Matmul([0; 29; 1744]),0,29,1744
1745,0.05532800033688545,Matmul([0; 52; 1749]),0,52,1749
2746,0,Split([10; 2745]),10,2745
8899,0.40112000703811646,Matmul([0; 28; 8901]),0,28,8901
8899,0.3935360014438629,Matmul([0; 443; 539]),0,443,539
8899,0.3887999951839447,Matmul([0; 8729; 308]),0,8729,308
3470,0.05350400134921074,Matmul([0; 3; 28851]),0,3,28851
3470,0.05407999828457832,Matmul([0; 29; 28855]),0,29,28855
3470,0.05407999828457832,Matmul([0; 52; 28859]),0,52,28859
3470,0.05407999828457832,Matmul([0; 75; 28861]),0,75,28861
3470,0.05532800033688545,Matmul([0; 98; 3469]),0,98,3469
36571,0.8015679717063904,Matmul([0; 28; 36573]),0,28,36573
36571,0.7639679908752441,Matmul([0; 443; 5654]),0,443,5654
6934,0.00002499999936844688,Concat([10; 192; 383; 581]),10,192,383,581
35671,0.5625920295715332,Matmul([0; 51; 35677]),0,51,35677
35671,0.5505920052528381,Matmul([0; 453; 35683]),0,453,35683
35671,0.5505920052528381,Matmul([0; 8735; 35687]),0,8735,35687
35671,0.5505920052528381,Matmul([0; 8821; 35689]),0,8821,35689
35671,0.5420160293579102,Matmul([0; 9062; 4769]),0,9062,4769
3150,0.05350400134921074,Matmul([0; 3; 28095]),0,3,28095
3150,0.05407999828457832,Matmul([0; 29; 28097]),0,29,28097
3150,0.05407999828457832,Matmul([0; 52; 28099]),0,52,28099
3150,0.05532800033688545,Matmul([0; 75; 3149]),0,75,3149
3301,0,Split([10; 3300]),10,3300
7576,0,Split([10; 2744]),10,2744
1019,0.00003199999991920777,Concat([10; 192; 31; 243]),10,192,31,243
8532,0.24031999707221985,Matmul([0; 8527; 151]),0,8527,151
3586,0,Split([10; 3585]),10,3585
290,0,Split([10; 289]),10,289
10736,0.5625920295715332,Matmul([0; 97; 10738]),0,97,10738
10736,0.5505920052528381,Matmul([0; 473; 10740]),0,473,10740
10736,0.5420160293579102,Matmul([0; 8747; 4504]),0,8747,4504
10736,0.5420160293579102,Matmul([0; 8849; 4509]),0,8849,4509
145,0,Var("w_24@1024_1024")
6855,0.06892800331115723,Matmul([0; 3; 18738]),0,3,18738
6855,0.0708480030298233,Matmul([0; 29; 11282]),0,29,11282
6855,0.0708480030298233,Matmul([0; 52; 11284]),0,52,11284
6855,0.0708480030298233,Matmul([0; 75; 11286]),0,75,11286
6855,0.0708480030298233,Matmul([0; 98; 11288]),0,98,11288
6855,0.07011199742555618,Matmul([0; 121; 6854]),0,121,6854
6855,0.07011199742555618,Matmul([0; 144; 6859]),0,144,6859
1061,0,Split([10; 1060]),10,1060
19606,0.8015679717063904,Matmul([0; 28; 19608]),0,28,19608
19606,0.7773119807243347,Matmul([0; 443; 11450]),0,443,11450
19606,0.7773119807243347,Matmul([0; 8729; 11452]),0,8729,11452
19606,0.7773119807243347,Matmul([0; 8807; 11454]),0,8807,11454
19606,0.7773119807243347,Matmul([0; 9023; 11456]),0,9023,11456
19606,0.7639679908752441,Matmul([0; 9059; 7214]),0,9059,7214
19606,0.7639679908752441,Matmul([0; 9107; 7219]),0,9107,7219
29213,0.40112000703811646,Matmul([0; 97; 29215]),0,97,29215
29213,0.3887999951839447,Matmul([0; 473; 3579]),0,473,3579
8371,0,Split([10; 6954]),10,6954
26967,0.40112000703811646,Matmul([0; 28; 26969]),0,28,26969
26967,0.3935360014438629,Matmul([0; 443; 26971]),0,443,26971
26967,0.3887999951839447,Matmul([0; 8729; 2254]),0,8729,2254
31711,0.5523520112037659,Matmul([0; 120; 4189]),0,120,4189
5284,0.00002499999936844688,Concat([10; 192; 233; 521]),10,192,233,521
3701,0,Split([10; 3700]),10,3700
6294,0.7783359885215759,Matmul([0; 97; 6299]),0,97,6299
6294,0.000029000000722589903,Concat([10; 192; 547; 549]),10,192,547,549
3220,0.05350400134921074,Matmul([0; 3; 10330]),0,3,10330
3220,0.05407999828457832,Matmul([0; 29; 10332]),0,29,10332
3220,0.05407999828457832,Matmul([0; 52; 10334]),0,52,10334
3220,0.05532800033688545,Matmul([0; 75; 3219]),0,75,3219
3220,0.05532800033688545,Matmul([0; 98; 3224]),0,98,3224
90,0,Reshape([89; 7]),89,7
6839,0.00003199999991920777,Concat([10; 192; 378; 388]),10,192,378,388
30071,0.5625920295715332,Matmul([0; 97; 30073]),0,97,30073
30071,0.5420160293579102,Matmul([0; 473; 3844]),0,473,3844
3535,0.05350400134921074,Matmul([0; 3; 10430]),0,3,10430
3535,0.05407999828457832,Matmul([0; 29; 10432]),0,29,10432
3535,0.05407999828457832,Matmul([0; 52; 10434]),0,52,10434
3535,0.05407999828457832,Matmul([0; 75; 10436]),0,75,10436
3535,0.05532800033688545,Matmul([0; 98; 3534]),0,98,3534
3535,0.05532800033688545,Matmul([0; 121; 3539]),0,121,3539
6564,0.7783359885215759,Matmul([0; 120; 6569]),0,120,6569
6564,0.000029000000722589903,Concat([10; 192; 557; 559]),10,192,557,559
3316,0,Split([10; 3315]),10,3315
39173,0.8015679717063904,Matmul([0; 120; 39175]),0,120,39175
39173,0.7639679908752441,Matmul([0; 483; 6809]),0,483,6809
32347,0.40112000703811646,Matmul([0; 51; 32353]),0,51,32353
32347,0.3935360014438629,Matmul([0; 453; 32359]),0,453,32359
32347,0.3935360014438629,Matmul([0; 8735; 32363]),0,8735,32363
32347,0.3935360014438629,Matmul([0; 8821; 32365]),0,8821,32365
32347,0.3887999951839447,Matmul([0; 9062; 4309]),0,9062,4309
26611,0.5523520112037659,Matmul([0; 28; 1544]),0,28,1544
18738,0.8015679717063904,Matmul([0; 28; 11282]),0,28,11282
18738,0.7773119807243347,Matmul([0; 443; 11284]),0,443,11284
18738,0.7773119807243347,Matmul([0; 8729; 11286]),0,8729,11286
18738,0.7773119807243347,Matmul([0; 8807; 11288]),0,8807,11288
18738,0.7639679908752441,Matmul([0; 9023; 6854]),0,9023,6854
18738,0.7639679908752441,Matmul([0; 9059; 6859]),0,9059,6859
173,0,Var("w_29@1024_1024")
5571,0,Split([10; 5570]),10,5570
11184,0.7783359885215759,Matmul([0; 97; 6574]),0,97,6574
11184,0.7639679908752441,Matmul([0; 473; 6579]),0,473,6579
3009,0.00002700000004551839,Concat([10; 192; 469; 283]),10,192,469,283
11430,0.8015679717063904,Matmul([0; 120; 11432]),0,120,11432
11430,0.7639679908752441,Matmul([0; 483; 7184]),0,483,7184
11430,0.7639679908752441,Matmul([0; 8753; 7189]),0,8753,7189
5579,0.00003199999991920777,Concat([10; 192; 263; 268]),10,192,263,268
1749,0.00003199999991920777,Concat([10; 192; 59; 268]),10,192,59,268
6636,0,Split([10; 6635]),10,6635
6179,0.00003199999991920777,Concat([10; 192; 318; 328]),10,192,318,328
8239,0,Split([10; 6234]),10,6234
4724,0.00003199999991920777,Concat([10; 192; 180; 418]),10,192,180,418
10230,0.5625920295715332,Matmul([0; 51; 10232]),0,51,10232
10230,0.5420160293579102,Matmul([0; 453; 2794]),0,453,2794
10230,0.5420160293579102,Matmul([0; 8735; 2799]),0,8735,2799
39153,0.8015679717063904,Matmul([0; 28; 39157]),0,28,39157
39153,0.7773119807243347,Matmul([0; 443; 39163]),0,443,39163
39153,0.7773119807243347,Matmul([0; 8729; 39169]),0,8729,39169
39153,0.7773119807243347,Matmul([0; 8807; 39173]),0,8807,39173
39153,0.7773119807243347,Matmul([0; 9023; 39175]),0,9023,39175
39153,0.7639679908752441,Matmul([0; 9059; 6809]),0,9059,6809
3904,0.00002700000004551839,Concat([10; 192; 485; 353]),10,192,485,353
29125,0.5523520112037659,Matmul([0; 120; 3549]),0,120,3549
36691,0.7783359885215759,Matmul([0; 74; 5814]),0,74,5814
28729,0.5625920295715332,Matmul([0; 51; 28735]),0,51,28735
28729,0.5505920052528381,Matmul([0; 453; 28739]),0,453,28739
28729,0.5505920052528381,Matmul([0; 8735; 28741]),0,8735,28741
28729,0.5420160293579102,Matmul([0; 8821; 3419]),0,8821,3419
8919,0.40112000703811646,Matmul([0; 51; 8921]),0,51,8921
8919,0.3935360014438629,Matmul([0; 453; 549]),0,453,549
8919,0.3887999951839447,Matmul([0; 8735; 333]),0,8735,333
8439,0,Split([10; 7214]),10,7214
2106,0,Split([10; 2105]),10,2105
3324,0.00002700000004551839,Concat([10; 192; 475; 333]),10,192,475,333
5660,0.06892800331115723,Matmul([0; 3; 36575]),0,3,36575
5660,0.0708480030298233,Matmul([0; 29; 36577]),0,29,36577
5660,0.07011199742555618,Matmul([0; 52; 5659]),0,52,5659
5426,0,Split([10; 5425]),10,5425
5811,0,Split([10; 5810]),10,5810
5076,0,Split([10; 5075]),10,5075
3051,0,Split([10; 3050]),10,3050
6525,0.06892800331115723,Matmul([0; 3; 11162]),0,3,11162
6525,0.0708480030298233,Matmul([0; 29; 11164]),0,29,11164
6525,0.0708480030298233,Matmul([0; 52; 11166]),0,52,11166
6525,0.0708480030298233,Matmul([0; 75; 11168]),0,75,11168
6525,0.07011199742555618,Matmul([0; 98; 6524]),0,98,6524
6525,0.07011199742555618,Matmul([0; 121; 6529]),0,121,6529
8007,0,Split([10; 4799]),10,4799
6361,0,Split([10; 6360]),10,6360
3154,0.00002700000004551839,Concat([10; 192; 473; 288]),10,192,473,288
3141,0,Split([10; 3140]),10,3140
11036,0.7783359885215759,Matmul([0; 74; 6124]),0,74,6124
11036,0.7639679908752441,Matmul([0; 463; 6129]),0,463,6129
1155,0.05488000065088272,Matmul([0; 3; 1154]),0,3,1154
1155,0.05532800033688545,Matmul([0; 29; 1159]),0,29,1159
18598,0.8015679717063904,Matmul([0; 28; 11242]),0,28,11242
18598,0.7773119807243347,Matmul([0; 443; 11244]),0,443,11244
18598,0.7773119807243347,Matmul([0; 8729; 11246]),0,8729,11246
18598,0.7773119807243347,Matmul([0; 8807; 11248]),0,8807,11248
18598,0.7639679908752441,Matmul([0; 9023; 6774]),0,9023,6774
18598,0.7639679908752441,Matmul([0; 9059; 6779]),0,9059,6779
2060,0.05350400134921074,Matmul([0; 3; 26823]),0,3,26823
2060,0.05407999828457832,Matmul([0; 29; 26825]),0,29,26825
2060,0.05532800033688545,Matmul([0; 52; 2059]),0,52,2059
5030,0.07017599791288376,Matmul([0; 3; 5029]),0,3,5029
1154,0.5523520112037659,Matmul([0; 28; 1159]),0,28,1159
1154,0.00003199999991920777,Concat([10; 192; 437; 511]),10,192,437,511
10384,0.5625920295715332,Matmul([0; 51; 10386]),0,51,10386
10384,0.5505920052528381,Matmul([0; 453; 10388]),0,453,10388
10384,0.5420160293579102,Matmul([0; 8735; 3384]),0,8735,3384
10384,0.5420160293579102,Matmul([0; 8821; 3389]),0,8821,3389
11450,0.8015679717063904,Matmul([0; 74; 11452]),0,74,11452
11450,0.7773119807243347,Matmul([0; 463; 11454]),0,463,11454
11450,0.7773119807243347,Matmul([0; 8741; 11456]),0,8741,11456
